year,series_name,series_href
2025,"Canada tour of Namibia, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9523/canada-tour-of-namibia-2025/matches
2025,"Pakistan tour of New Zealand, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/8562/pakistan-tour-of-new-zealand-2025/matches
2025,Falkland Islands tour of Costa Rica 2025,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9507/falkland-islands-tour-of-costa-rica-2025/matches
2025,"Malaysia Tri-Nation T20I Series, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9480/malaysia-tri-nation-t20i-series-2025/matches
2025,"Bahrain tour of Singapore, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9453/bahrain-tour-of-singapore-2025/matches
2025,"USA tour of Oman T20I Series, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9451/usa-tour-of-oman-t20i-series-2025/matches
2025,"Bahrain tour of Indonesia, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9426/bahrain-tour-of-indonesia-2025/matches
2025,"ICC Champions Trophy, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9325/icc-champions-trophy-2025/matches
2025,"Pakistan ODI Tri-Series, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/8511/pakistan-odi-tri-series-2025/matches
2025,"Ireland tour of Zimbabwe, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9331/ireland-tour-of-zimbabwe-2025/matches
2025,"Malta T20I Tri-Series, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9375/malta-t20i-tri-series-2025/matches
2025,"Australia tour of Sri Lanka, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9181/australia-tour-of-sri-lanka-2025/matches
2025,"England tour of India, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/8402/england-tour-of-india-2025/matches
2025,"West Indies tour of Pakistan, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/8504/west-indies-tour-of-pakistan-2025/matches
2025,Indian Premier League 2025,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9237/indian-premier-league-2025/matches
2025,Asian Legends League 2025,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9442/asian-legends-league-2025/matches
2025,"International Masters League T20, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9435/international-masters-league-t20-2025/matches
2025,"International League T20, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9261/international-league-t20-2025/matches
2025,"SA20, 2025",https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/8873/sa20-2025/matches
2025,County Championship Division One 2025,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9360/county-championship-division-one-2025/matches
2025,County Championship Division Two 2025,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/9369/county-championship-division-two-2025/matches
2025,CSA Provincial One-Day Challenge Division One 2025,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/8708/csa-provincial-one-day-challenge-division-one-2025/matches
2025,CSA Provincial One-Day Challenge Division Two 2025,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-series/8722/csa-provincial-one-day-challenge-division-two-2025/matches
